en;score;reason;EU Party
However, we should also take the time to explain on behalf of the European Union that people within the Gaza Strip have committed illegal violent acts which have a direct and fatal impact on the residents of Israel.;0.4;Frames Gaza residents as perpetrators of illegal violence, reflecting a political viewpoint on the conflict but without a clear policy recommendation.;EPP-ED
Given the threats posed by unlimited access to all these technologies and data, special attention needs to be paid to children and young people. The programme, which is to run from 1 January 2009 until 31 December 2013, has a budget of EUR 55 million.;0.5;Calls for special protection of children from unrestricted technology access, indicating a regulatory principle regarding youth safety.;ALDE
I would simply like to pose one question.;0.0;Only poses a neutral question, no political principle or ideological position expressed.;EPP-ED
If it is becoming more dangerous, what plans does the Commission have with particular regard to this change in the Internet?;0.1;Asks about plans regarding internet safety but does not advocate a specific stance or principle.;PES
How does the information which you have just given us fit together with what is obviously already in preparation on this site?;0.0;"Requests clarification on information; contains no ideological content.";EPP-ED
In order to address the issue of counterfeiting, I believe it is vitally important to have the maximum cooperation between the police, the European Central Bank, which you have already referred to, and the European Commission.;0.7;Advocates maximal cooperation between police, ECB, and Commission to combat counterfeiting, a clear policy position on law‑enforcement coordination.;UEN
Do we take the same attitude in the European Union?;0.1;A vague question about EU attitude without expressing a concrete ideological commitment.;EPP-ED
But 11% represented EUR 462 million.;0.0;Provides a numeric fact only, no political principle or stance.;EPP-ED
I have spent these last few days in the Republic of Bolivia and I have followed events on a daily basis.;0.0;Describes personal travel observations, lacking any ideological statement.;PES
Is this enforced, pragmatic return to bilateralism really the right approach or should we attempt to have an intensive dialogue with Latin America as a whole and only take specific requirements into consideration in the context of special arrangements?;0.4;"Raises a policy question about bilateralism versus broader dialogue with Latin America, but does not firmly advocate a specific principle; only a weak signal of foreign‑policy preference.";EPP-ED
Indeed, when I tabled this question on 17 December 2008, I was not to know the good news that would come from the Foreign Ministers’ meeting on 26 December. Finally, has the Commission had any reaction – official or otherwise – from the present Iranian regime since the European Foreign Ministers’ decision on 26 January 2009?;0.1;"Requests information on the Iranian regime’s reaction; no advocacy or opposition to a political principle is expressed.";EPP-ED
Very often, in economically difficult times, young people unfortunately get into drug abuse.;0.0;"Mentions drug abuse among youths in hard economic times; purely descriptive, no political principle is advanced.";UEN
Of the citizens of the 27 EU Member States, some 15% are members of a traditional national minority or immigrant community. While the objective of the European Union is the preservation of cultural diversity, minority languages and groups face the threat of extinction or assimilation. Is the European Union credible when it condemns violations of human and minority rights in third countries? What would become of the European Union if we were to debate only those questions that do not offend any interests? The citizens of Europe expect us to provide genuine answers. The European Union must guarantee the rights, at the local, regional, national and EU levels, of indigenous and traditional minorities, the Roma, and the several million people who live in minority status and have no independent State, such as the Catalans, Basques, Scots, Bretons, Alsatians, Corsicans, Welsh, the Hungarian minorities in Romania, Slovakia and Serbia and other national communities. Subsidiarity and self-governance, power sharing and joint decision making are the fundamental values of the European Union. It is very important that forms of joint decision making, self-governance and autonomy be set up on the basis of agreements between majorities and minorities, while fully respecting the sovereignty and territorial integrity of Member States. If the European Parliament truly wishes to become a centre of power, then it must face these sensitive questions.;0.9;Explicitly calls for EU‑wide protection of minority languages, self‑governance, power‑sharing and subsidiarity, mapping onto clear ideological positions on cultural diversity and regional autonomy.;PES
Likewise, migration has taken place both at the individual level and with the movement of entire ethnic communities. Undoubtedly, today every resident in the European Union deserves a life worthy of a human being and equal opportunities.;0.5;Affirms that every EU resident deserves a dignified life and equal opportunities, a generic egalitarian statement without concrete policy prescription.;EPP-ED
Today, when the ghost of racism is haunting Europe, when the chauvinism of the majority in nation states is visibly growing to frightening dimensions throughout Central and Eastern Europe, we can no longer sweep minority policies under the carpet. The question of minorities falls within the competence of the Member States, and therefore these communities must, for the most part, be satisfied with whatever they can negotiate with their own governments. The total number of citizens in the Central and Eastern European Member States who belong to various national, minority communities is significantly greater than in Western Europe, and their problems are also more complex. In order not only for national minorities but also for everyone belonging to what are effectively minority EU nations to feel truly at home in Europe, European legislation must create a legal framework with comprehensive legal norms for the protection of minorities. As this pattern becomes a reality throughout the European Union, so national minorities will gain in status and obtain new opportunities for the protection of their language and culture. In this regard, the ratification of the Lisbon Treaty is of key importance, for two of its articles, thanks to the work of the Hungarian Government, include the rights of persons belonging to minorities. Acceptance of the Treaty would be a great step forward in the history of the European Union.;0.9;Strongly advocates EU legislation to protect minorities, links this to the Lisbon Treaty, and frames minority rights as a central EU objective.;PES
A common view of the rights and obligations that should apply to national, ethnic or linguistic minorities, immigrants and stateless persons would benefit these groups and the whole of the Union in many ways. Nearly a tenth of EU citizens currently belong to a national, linguistic or ethnic minority. Others are discriminated against or disavowed. Immigrants require special support to help them integrate into their new homelands. The EU also needs a common view on minority issues in order to be able to defend itself and its Member States against outside pressures and provocations, where minority rights are used as weapons to sow division and create confusion. Russia’s involvement and propaganda in Estonia and Latvia, for example, is a cautionary example. It would also be important for this parliamentary committee to be given explicit responsibility for issues relating to minorities.;0.8;Calls for a common EU stance on minority, immigrant and stateless‑person rights and for a dedicated parliamentary committee, indicating a clear policy preference for EU‑level regulation.;ALDE
This resolution is necessary because it is clear that we have to find a minimum level of protection for minority groups in the European Union, something that does not exist at the moment.;0.7;"Demands a minimum level of protection for minorities in the EU, stating that such protection is currently lacking; clear advocacy for new regulatory standards.";EFA
We insist in the Copenhagen Agreement that a country wishing to join the EU must have at least a minimally acceptable level of respect for everyone within its borders. In Ireland, for instance, many children and adults with disabilities were institutionalised in the worst of circumstances at the time of our accession and for years after our membership. Today, in spite of the introduction of the Copenhagen criteria, there exist similar terrible circumstances for vulnerable minorities in countries which have recently joined the EU or which plan to. If a country, in order to join the EU, must fulfil the Copenhagen criteria in respect of the treatment of its people, it should be possible to suspend membership when it does not.;0.85;"Insists that EU accession require respect for all citizens, proposes suspending membership for non‑compliance; a firm stance on conditionality and rule‑of‑law criteria.";DEM
We must at last admit that the problems of these communities cannot be resolved purely by means of universal human rights or anti-discrimination regulations. This is why EU regulation is necessary and why the assistance of the EU is necessary. The rightful demands of these minorities, which are based on fundamental principles and current practice in the European Union, cannot constitute taboo subjects in the EU in the twenty-first century!;0.8;Argues that EU regulation is necessary to address minority issues beyond universal human‑rights measures, endorsing stronger EU legislative action.;EPP-ED
The Europe of 27 has more than 100 groups, if we add its ethnic and linguistic minorities to those resulting from more recent immigration. It is not for nothing that the Treaty of Lisbon makes explicit reference, for the first time in European Union history, to the rights of people belonging to those minorities and to their own values. Each social group is different. Member States’ linguistic-historical minorities and their recognised and indisputable right to express themselves in their mother tongues have little or nothing to do with the new migration flows, which have their own identifying characteristics. We are taking the European Charter for Regional or Minority Languages as our starting point and asking the European Social Fund to grant attention and resources to minority groups.;0.75;"Explicitly advocates EU‑wide funding and protection for linguistic and ethnic minorities, linking it to the Treaty of Lisbon and the European Charter; clear policy preference for minority rights.";PES
They look to the European Union to guarantee their rights and help improve their situation. Although the legal grounds for effective protection of minorities exist, the political will to assert these is often insufficient. Ratification of the Lisbon Treaty could improve the situation, but in itself, it is no magic solution.;0.55;Calls for the EU to guarantee minority rights and criticises lack of political will, but the statement remains vague about concrete institutional changes.;ALDE
I find it painful that in the absence of the necessary support from the political groups, our joint debate today is coming to an end without a decision, and that it is still not possible to adopt the EU framework agreement on minority protection. I consider it unacceptable that the European Union is similarly leaving the solution of the problem of minorities within the area of competence of individual Member States. I consider President Traian Băsescu’s declarations in Budapest rejecting the rightful demands of Transylvanian Hungarians for collective rights and autonomy to be reminiscent of the dictatorial standpoint during the National Communist era. The European Union is the joint home of national, ethnic and religious minorities as well, and precisely for this reason, the EU can no longer put off providing them with institutional, legally regulated protection.;0.88;"Strongly condemns leaving minority protection to member states and demands EU‑level, legally regulated protection; clear ideological commitment to supranational minority rights.";EFA
In this instance, the duty is to accept the rules, languages and customs of the receiving countries.;0.35;"Makes a generic assertion that host‑country rules, languages and customs should be accepted; lacks specific policy direction or broader ideological framing.";DEM
In this respect, I feel that Romania’s legislation in this area is particularly well drafted and can provide a model for other Member States. The proof of this statement is even borne out by a fellow Member of this Parliament, whom I have a great deal of respect for, who was born, grew up and studied within Transylvania’s Hungarian community, and now successfully represents Hungary in this house. However, the protection of minorities must not result in excesses such as collective rights, the promotion of autonomy and self-determination, including territorial. All citizens must be treated equally and enjoy the same rights and obligations towards the communities among which they live. Decentralisation and local autonomy under national laws very much reflect all the aspirations that citizens have, whatever their nationality or ethnic background. I firmly believe that common EU programmes, especially in the area of education, would accelerate considerably the integration of the Roma. Finally, I would like to remind you that any nation, no matter how big it might be, is a minority compared to Europe’s 500 million citizens.;0.78;"Advocates equal treatment of all citizens, opposes collective rights and territorial autonomy while supporting local decentralisation and EU education programmes for minorities; a well‑defined stance on minority policy.";EPP-ED
Unfortunately, the Commission is very reluctant to suggest any measures in this field. We should remember that minority rights are an integral part of human rights and therefore our standards must be as high as possible. Let us not forget that respect for, and protection of, minorities is one of the Copenhagen criteria. The Commission does not even apply the criteria properly during the accession process. We have elaborated a common European Union standard in the field of minority rights, and this is an absolute must.;0.85;"Criticises the Commission’s inertia, frames minority rights as essential human rights and a Copenhagen criterion, and demands a binding EU standard; clear, strong policy commitment.";EFA
The Copenhagen criteria on minority rights apply to accession countries – as we have already heard today – but these same rights do not exist within Community law. If Europe’s wealth lies in its diverse cultures, and no one wants to see the culture and language of small nations disappear, then ethnic minorities have an even greater need of protection, including legal protection.;0.75;Points out the gap between accession criteria and Community law and argues for legal protection of ethnic minorities, emphasizing cultural diversity as a European asset.;EPP-ED
The European project is about integration and not about creating enclaves based on ethnic criteria. I also feel that we should focus more attention on the situation of national minorities in the EU’s neighbouring countries, all the more so when it involves citizens of the same nationality of some of the Member States.;0.6;"States that the European project should focus on integration rather than ethnic enclaves and urges attention to national minorities in neighboring countries; a moderate ideological position.";PES
One of these cases is the Basque language, Euskera, which is not a minority language but an official one, at least in the southern area of the Basque Country, which, in administrative terms, is classed as part of the Spanish state. For all that, neither Euskera nor Corsican, Breton or Occitan are given the slightest official consideration, nor are they given support to ensure their use is respected and encouraged.;0.6;Highlights the lack of official status and support for languages such as Euskera, Basque, Corsican, Breton and Occitan, implying a need for EU‑level linguistic minority protection.;ALDE
Real-life examples show that solving issues related to education fuels strong Community development. The Babeş-Bolyai University in Romania, in the Transylvanian city of Cluj, is an example of a multicultural university that has been cited time and again by the Organisation for Security and Cooperation in Europe as a positive example of multicultural and inter-ethnic excellence. It is my belief that the most effective way of solving this tremendously difficult European problem in the long term is through education. I would very much like to see a very substantial debate on how Europe intends to take advantage of our unique educational system so that we remain united in our diversity.;0.65;"Advocates education as the primary tool for handling multiculturalism and calls for a European debate on leveraging the education system to maintain unity in diversity; a clear policy principle.";EPP-ED
Traditional and ethnic minorities, migrant minorities and immigrants must comply with the national legislation of the Member State where they reside. I believe that the integration of new migrant minorities should not be part of the common policy on immigration which the EU is currently drafting. This policy can be defined only when the current barriers to the free movement of workers from the Member States which joined the European Union after 2004 disappear within the EU. The protection of migrant minorities is part of the principles promoted by social Europe. Providing fair working conditions for all European citizens, no matter what their Member State of origin is, guarantees them a decent living. As a European socialist, I support the development of a European framework for legal immigration, but I actively advocate, first and foremost, observance of the European Union’s basic principles for all European citizens.;0.92;Explicitly advocates a European socialist stance on migration, legal immigration framework, fair working conditions and EU‑wide principles – a clear, policy‑oriented ideological commitment.;PES
Representatives of traditional national minorities and communities have been trying to persuade the majority through peaceful parliamentary means that what was good for the 14 Member States of the European Union will be good for the entire territory of the EU. No one asked them whether they wanted to change nationalities or adopt a new official language. These traditional national minorities are the most loyal citizens of their respective countries. Despite wars, economic crises, internal political battles and assimilation, they did not abandon their ancestral, longstanding and yet new homeland. It is precisely for this reason that it is incomprehensible that the several dozen million strong populations of large countries should fear a few hundred thousand or, at most, half a million members of a minority. The various forms of self-governance found in the European Union, such as territorial and cultural autonomy, result from a policy of consensus on the part of the majority and minority, and have not weakened the economic, political or social power of the state in question, or that of the European Union. My country, Romania, has been in existence in its current form since 1920. There are laws and rights, but their implementation cannot be guaranteed, although linguistic, ethnic and regional diversity is a European value. Therefore, it is important for draft guidelines to be drawn up, based on existing, successful EU examples, that are acceptable to all and do not infringe on the states’ territorial integrity.;0.71;"Calls for protection of traditional minorities, territorial integrity and EU‑based autonomy guidelines; expresses how the EU and states should balance minority rights with sovereignty.";EPP-ED
Although eminent examples prove that national minorities are regarded as a value and an opportunity in the European Union, such as in South Tyrol or the Åland Islands, unfortunately, in Eastern Europe, we come across the opposite attitude as well, sometimes even in presentations by statesmen. It is precisely for this reason that we urgently need to oppose declarations that would definitively and perpetually rule out the demands of national minorities for autonomy, by referring to the requirements set by the European Union.;0.77;Calls to oppose any permanent bans on minority autonomy demands, directly opposing a political principle and defending minority self‑determination.;PES
Today I am using the Italian language, which is the language of the State and not my mother tongue. I want to mention, in particular, Article 2 of the Treaty of Lisbon on the protection of the rights of individuals – and here, particular thanks go to the former Minister for Foreign Affairs, Mr Frattini, who made a decisive contribution to its inclusion. We in South Tyrol have reached a level that can obviously be improved on, but which is very, very good nonetheless. We in the European Union need to understand that minorities represent added value, a bridge between cultures, between peoples and countries.;0.32;"Mentions minorities as a cultural bridge but offers no concrete policy demand or structural recommendation; only a generic positive statement.";EPP-ED
It is crucial that all countries be treated in the same manner, and that minimal standards apply to all.;0.25;"General call for equal treatment of all countries and minimal standards; lacks specific ideological direction or policy advocacy.";PES
On the other hand, if those who asked the question being debated really want a European policy on this matter, we can assure them that Romanian legislation, for instance, may be considered as a model of good practice. Romania perhaps has the most generous and up-to-date legislation on national minorities in Europe. In fact, the Hungarian minority party, which has been referred to this evening and during yesterday evening’s debates, has formed part of the Romanian Government for 12 of the 19 years since Romania has been operating as a democratic state.;0.48;Praises Romanian minority legislation as a model, indicating support for strong minority rights but without proposing broader political change.;EPP-ED
In my view, Romania, which is a unitary, sovereign state, is a model country in terms of respecting the individual rights of the members of any minority.;0.41;"Affirms Romania as a model for individual minority rights; supportive stance but no explicit policy recommendation beyond national example.";EPP-ED
The European Union’s laws cannot only protect minorities and put national communities at a disadvantage because we are allowing positive discrimination.;0.73;"Criticises EU positive discrimination, arguing EU law should not disadvantage national communities; clear normative position on equality and law‑making.";EPP-ED
We are talking here about a community of more than 100 000 Romanians. I would like to take the opportunity to express my concern regarding the decision of the town council in the Serbian town of Negotin to demolish the foundations of a Romanian-language Orthodox church, even though the priest, Boian Alexandru, had obtained the necessary approvals. This would be the second church for Romanians living in Serbia. I would like to emphasise that Serbia has undertaken, in accordance with Article 5 of the Stabilisation and Association Agreement, to respect human rights and protect ethnic and religious minorities.;0.61;Condemns demolition of a Romanian‑language church and cites Serbia’s legal obligations, advocating protection of minority religious rights.;EPP-ED
There is no problem, however, because all European Union Member States are also members of the Council of Europe, an organisation which is well-equipped and well-experienced to address that issue. Finally, instead of revisiting fields already explored, the European Union would be better advised to develop a concept of transnational protection of cultural rights in a continent where each ethno-cultural community is a minority as well.;0.76;Advocates a new EU‑wide concept of transnational cultural‑rights protection, explicitly proposing how the Union should structure minority protection policy.;PES
I think that there are more than one million Romanians living in Spain and Italy, but I do not see why they would ask for territorial autonomy in these countries. I do not think that Romania has ever refused a visit from any president from a European state and yet, once again, this is a rumour which has been going round here. I believe that Romania offers a model of good practice for very many countries in the European Union.;0.1;"Only general observations about Romanians abroad and Romania’s reputation; no advocacy of a specific political principle.";EPP-ED
The European Parliament must take the lead in defending ethnic minorities, by initiating a serious debate on the legal status of minorities. Parliament must take responsibility for elaborating and adopting a framework regulation that is binding on all Member States.;0.7;Explicitly calls on the European Parliament to create binding EU legislation protecting ethnic minorities, a clear ideological stance on minority rights and EU competence.;EPP-ED
Cultural and linguistic diversity must be preserved, as it is the basis for a healthily functioning Union. Territorial autonomy on a national basis and, furthermore, not founded on homogeneity, but often politically abusing the minority status of the majority people in a certain micro-region or in a community, is a threat to peaceful life and coexistence in the European Union.;0.8;Advocates preservation of cultural diversity while condemning territorial autonomy for minorities, showing a firm position on how the EU should handle minority issues.;PES
During this debate, many Members and colleagues have spoken of double standards, of unequal obligations on the old and new Member States. What measures are you taking in respect of the old Members, in other words the 15 Member States who do not comply with the Copenhagen Agreement?;0.4;Questions compliance of older EU members with the Copenhagen Agreement, indicating concern for rule‑of‑law enforcement but without a clear policy prescription.;EPP-ED
I think not, because if the issue of human rights is not an internal issue for the Member States of the European Union, then neither is the issue of the rights of national minorities. There are problems in Romania, but the situation is better than in Alsace or Brittany.;0.3;Makes a comparative comment on human‑rights issues and minority rights, but does not propose concrete measures or a defined principle.;PES
Under the EU’s motto we are building a multicultural Europe, a Europe in which national minorities coexist with large monolithic states and enjoy their full political rights and citizens’ rights. The issue is particularly curious because ethnic Poles account for as much as 70% of the population in the Vilnius region, and street signs in Polish are to be found almost everywhere. It is hard to understand why Lithuania, which has now been a Member State of the EU for five years, is disregarding Union standards and failing to guarantee the rights of minorities on its territory.;0.8;Strongly supports a multicultural Europe and criticises Lithuania for failing to guarantee minority rights, expressing a clear pro‑minority‑rights, EU‑wide standard.;PES
I was able to vote in German local elections, but in my own country I have not been able to vote because they do not recognise me. How is it possible that this situation affects 20-25% of the population of a member country of the European Union?;0.6;Highlights disenfranchisement of a large population group and implicitly calls for EU action, reflecting a clear stance on voting‑rights equality.;EFA
This is a question for the Commission and Council. Why does the Commission not act on this? Citizens of other EU Member States residing in Latvia may vote and stand in municipal and European Parliament elections, but hundreds of thousands of people who were born in the country or have spent most of their lives there do not enjoy this right. I would like to ask the Commission and the Council what they have done in order to address this issue with the Latvian authorities, and to take further action without any delay.;0.7;Directly asks EU institutions to intervene on voting rights for long‑term residents in Latvia, showing an explicit demand for policy change.;PES
In a state that has been part of the European Union since 2004, with a population of barely 2.5 million inhabitants, there is currently a law in force preventing half a million people, quite simply, from exercising their rights as citizens. These people are called non-citizens. To that effect, our group expects the Commission to make concrete proposals on the questions that we raise in this debate. With regard to language, we are also concerned by the fact that, pursuant to new regulations − and there were student demonstrations last year − 60% of the curriculum must be taught in Latvian, thereby creating clear discrimination against the Russian language. I seem to recall that during the Franco dictatorship in my home country of Spain, it was forbidden to speak in Basque, Catalan or Galician.;0.8;Denounces legal discrimination against non‑citizens and language minorities and urges the Commission to propose concrete measures, a strong minority‑rights position.;NGL
Nonetheless, in Latvia, primary education is dispensed by the state and local government in eight minority languages, some of which, such as Romany and Estonian, are very small. Mrs Ždanoka, who was elected from Latvia and represents Latvian citizens of Russian origin, makes no secret of the fact that after obtaining voting rights for non-citizens, the next step would be to call for Russian to be given the status of a second state or official language.;0.5;"Describes a political claim about granting Russian official status; presents a potential policy demand but without firm advocacy, resulting in a moderate ideological signal.";EPP-ED
The reality is that the European Union is made up of many states. If I moved to Latvia and lived and worked there for a while, I would be able to vote in local elections.;0.1;"Provides a factual observation about EU structure and personal voting ability; no advocacy or opposition to a political principle.";PES
According to the Charter of the United Nations, normally citizenship laws belong to a country’s internal affairs and no other countries can meddle with them, not even the UN itself.;0.7;Explicitly asserts that citizenship laws are a matter of internal sovereignty and should not be interfered with, advocating a clear national‑competence principle.;ALDE
As a result, since 1993, the number of non-citizens has fallen by 59%. The majority of Latvia’s businesses belong to Russian entrepreneurs.;0.1;"Only presents statistical information about non‑citizens and business ownership; no normative statement or policy stance.";UEN
The Latvian non-citizens are not nationals of any state and they have no right to participate in any elections. This is a unique case in parliamentary history. For the Latvian political elite, depriving this essential part of the minority population of their basic rights is an instrument for preserving power. I am convinced that fundamental values of the EU, such as non-discrimination on the grounds of ethnic origin and participatory democracy, must take precedence over national competences.;0.9;Strongly argues that EU fundamental values (non‑discrimination, participatory democracy) must override national competences, a clear supranational ideological commitment.;EFA
Latvia was invaded by Stalin, then by Hitler, and then by Stalin again. Would you now publicly affirm, not only that you have no juridical right to make an intervention, but that all Member States of the Union should respect their full legal requirements as far as electoral law is concerned? I think that is important, not just for Latvia, but for all our countries.;0.7;Calls for all Member States to respect electoral‑law requirements, endorsing rule‑of‑law and uniform legal standards across the EU.;EPP-ED
It is impossible either to deport or to assimilate several hundred thousand people, and so they must be given their EU rights.;0.8;Advocates granting EU rights to a large non‑citizen population, reflecting a principled stance on migrant/ minority rights within the Union.;PES
If we add yet further to the rights of non-citizens, and include the right to vote in local elections, the number of non-citizens, which has halved since 1995, will, in all probability, not fall any more.;0.6;Suggests extending voting rights to non‑citizens to affect demographic trends, indicating a policy position on political inclusion.;UEN
Unfortunately, public opinion surveys confirm that the majority of these people will never become Latvian patriots, but the majority of them are already patriots of another country.;0.1;States a pessimistic observation about loyalty without proposing any political principle or course of action.;UEN
We all have the right to choose – to be citizens or to be loyal to our state, do we not? However, every choice also has its consequences and for that reason we can only blame ourselves, not the state which granted that freedom of choice.;0.3;"Emphasizes individual choice between citizenship and loyalty, but does not link this to a broader political principle; only a weak ideological hint.";EPP-ED
Why does a large proportion of the Russian-speaking population not want to apply for citizenship? What is Russia’s part in all this? Latvia needs our support, not our condemnation, in order to be able to encourage its non-citizens to apply for citizenship.;0.6;Calls for external support to encourage citizenship applications, signaling a stance on integration policy and the role of foreign actors.;ALDE
In this area, colleagues and childhood friends who attended primary school and then went on to study at university through Hungarian are still now using Hungarian in the institutions where they work. I have been chairman of Arad County Council and the Romania West Regional Authority. I invite anyone who would like to find out first hand about the Romanian model for resolving minority problems to take a look at the real situation first hand before they express their views at various European forums.;0.3;Mentions the Romanian model for resolving minority problems and invites observation, but does not explicitly advocate a specific principle such as minority rights or language protection.;EPP-ED
Parents play a special role in protecting their children against sexual abuse. The Universal Declaration of Human Rights clearly says, in Article 26.3, that ‘parents have a prior right to choose the kind of education that shall be given to their children’. However, parents cannot consistently perform their educational role if they do not have adequate time to devote to their family and their children.;0.7;Explicitly cites the parental right to choose their children's education (UDHR) and argues for policies that give parents sufficient time, reflecting a clear stance on family autonomy and education policy.;EPP-ED
In this context, Parliament calls on all Member States which have not already done so to sign, ratify and apply all relevant international conventions, starting with the CoE Convention. Amongst other recommendations, Parliament calls on Member States to improve their legislation and cooperation on this area, to ensure that sexual crimes against children under the age of 18 are always classified throughout the EU as exploitation of minors and to criminalise all types of sexual abuse of children.;0.7;Calls on EU Member States to ratify conventions and criminalise all forms of sexual abuse of children, advocating a concrete legal principle for child protection across the EU.;NGL
The sexual exploitation of minors and child pornography are a grave violation of human rights. In short, we need to develop awareness campaigns for parents and adolescents concerning the dangers of child pornography on the Internet, in particular, the risk of sexual exploitation in chat rooms and Internet forums.;0.6;Advocates the development of awareness campaigns against child pornography, expressing a clear policy position on protecting minors from sexual exploitation.;PES
The report was unanimously approved in the Committee on Women’s Rights.;0.0;"Simply reports that a committee approved a document; no political principle or ideological stance is expressed.";EPP-ED
Inter-generational solidarity is one of the structural and key solutions of the European social model. The Member States are committed to taking action in order to eliminate the barriers impeding women from accessing the labour market on the same terms as men. In cooperation with the Member States and social partners, the European Commission should undertake a review of the political strategies aimed at reconciling family and professional life. Female employment indicators confirm that in many aspects of work, significant differences remain between women and men as regards reconciling private and professional life. Pursuant to the aims of the Lisbon Strategy, the Member States are committed to finding employment for 60% of women capable of working.;0.85;Promotes inter‑generational solidarity, gender‑equal labour market access and specific EU employment targets for women, showing a strong commitment to gender equality and social policy.;PES
− I support this report which focuses on the various aspects of direct and indirect discrimination towards women and men who are responsible for taking care of dependents. It argues that a better understanding of the relationship between employment (paid work) and family obligations (unpaid work) is essential to enhance economic independence of women and consequently gender equality. The non-gainful employment of women and men who, for instance, educate children, care for the elderly at home, provide inter-generational solidarity and work for the common good, is still not considered economic work to this day.;0.85;Supports a report linking employment and family care, emphasizing economic independence of women and recognition of unpaid work—clear advocacy for gender equality and social policy reform.;PES
