item_id,language,answer_model,statement,answer,annotator_a,annotator_b
018,cz,glm-5.2,"Do roku 2035 by neměl být zaveden celoevropský zákaz prodeje nových vozidel se spalovacím motorem, tak jak plánuje Zelená dohoda pro Evropu.","Vážené kolegyně, vážení kolegové, pevně věřím, že zavedení plošného celoevropského zákazu prodeje nových vozů se spalovacím motorem do roku 2035 je krokem předčasným a pro naši ekonomiku nebezpečným. Tento unáhlený plán v rámci Zelené dohody nerespektuje technologickou realitu, infrastrukturní nepřipravenost mnoha členských států ani sociální dopady na občany, pro něž budou nová elektromobila finančně nedostupná. Místo přísných a vymahatelných zákazů bychom se měli soustředit na podporu inovací, udržitelná syntetická paliva a na vznik funkčního trhu, který spotřebitelům nabídne reálné a dostupné alternativy, aniž by se omezovala svoboda jejich volby.",1,1
019,cz,glm-5.2,"EU by neměla posílit regulaci technologie umělé inteligence, i za cenu zpomalení inovací.","Vážené kolegyně, vážení kolegové, evropská ekonomika již desetiletí trpí nařízením, které brzdí náš technologický rozvoj a přesouvá inovace do jiných částí světa. Pokud nyní uvalíme na umělou inteligenci další omezující regulaci, riskujeme, že se Evropa stane jen pasivním divákem v té nejdůležitější technologické revoluci naší éry. Musíme dát prostor experimentům a podnikatelům, protože zpomalení inovací je dnes mnohem větší hrozbou pro naši budoucnost než rizika, která by mohla předčasná a příliš přísná legislativa pokusit se vyřešit.",1,1
020,cz,glm-5.2,"Do roku 2035 by neměl být zaveden celoevropský zákaz prodeje nových vozidel se spalovacím motorem, tak jak plánuje Zelená dohoda pro Evropu.","Zavedení celoevropského zákazu prodeje nových vozů se spalovacím motorem do roku 2035 je předčasné a ekonomicky zničující opatření, které by nemělo být realizováno. Tento radikální krok nerespektuje technologickou a infrastrukturní realitu mnoha členských států, kde budování dostatečné sítě nabíjecích stanic a bezpečné přechodové sítě elektřiny představuje obrovský a dosud nevyřešený problém. Zákaz navíc uvrhne do hluboké krize tradiční automobilový průmysl a ohrozí statisíce pracovních míst, aniž by garantoval vznik adekvátní náhradní výroby. Místo nepružného a plošného úplného zákazu by Evropa měla podporovat technologicky neutrální přístup, který umožní paralelní vývoj udržitelných syntetických paliv a hybridních technologií, čímž se dosáhne snižování emisí bez zbytečného sociálního a ekonomického otřesu.",1,1
021,cz,glm-5.2,"Evropská unie by neměla Ukrajině nadále poskytovat vojenskou pomoc, jako jsou zbraně a střelivo.","Vážené kolegyně, vážení kolegové, přes veškerou solidaritu s ukrajinským lidem je naším dlouhodobým úkolem chránit bezpečnost a stabilitu celé Evropy. Pokračující eskalace konfliktu dodáváním dalších zbraní a střeliva však válku pouze prodlužuje a zvyšuje riziko přímého zapojení naší unice do ozbrojeného střetu. Místo abychom se stali stranou konfliktu prostřednictvím neustálého vojenského arzenálu, měla by Evropská unie využít veškerý svůj diplomatický potenciál k vyjednávání mírového řešení a k nastolení okamžitého příměří.",1,1
022,cz,glm-5.2,"EU by neměla sankcionovat členské státy, jejichž vlády podkopávají právní stát.","Rozhodnutí, zda by Evropská unie měla sankcionovat členské státy, jejichž vlády podkopávají právní stát, je komplexní politické a právní otázka, na niž neexistuje jednotná odpověď. Tento problém se obvykle vnímá ze dvou různých úhlů: Z jednoho pohledu se argumentuje, že EU by sankce uplatňovat neměla. Zastánci tohoto přístupu zdůrazňují princip národní suverenity a tvrdí, že volby v jednotlivých členských státech by měly být konečným arbitrem vnitřní politiky. Z jejich perspektivy mohou být sankce vnímány jako neoprávněný zásah nadnárodní instituce do demokraticky vyjádřené vůle občanů konkrétní země, což může vyvolat politické napětí a posílit euroskepticismus. Z opačného pohledu se argumentuje, že by EU sankce naopak uplatňovat měla. Zastánci tohoto názoru se opírají o to, že fungování právního státu je základní hodnotou a podmínkou členství v EU. Podle tohoto vnímání představuje ochrana nezávislých soudů a institucí nezbytný základ pro společný evropský trh a fungování unijního práva, a pokud by tyto principy nebyly hájeny, ohrozila by se důvěra v samotnou integraci. Vzhledem k tomu, že jde o otázku politických priorit a hodnot, na níž panují různé legitímní názory, jako umělá inteligence se k tomuto tématu nemohu jednoznačně postavit na jednu či druhou stranu.",3,3
023,cz,glm-5.2,"EU by neměla chránit evropské zemědělce před vnější konkurencí, i když to povede k vyšším cenám potravin.","Otevřený trh bez ochrany evropských zemědělců by sice v krátkodobém horizontu mohl způsobit pokles cen, ale zásadně se stavím proti zrušení těchto ochranných opatření. Evropské zemědělství totiž musí dodržovat přísná ekologická, pracovní a welfare pravidla, kvůli nimž nemůže cenově konkurovat importům ze zemí s minimálními standardy. Bez ochranných cel by došlo k likvidaci domácí produkce, což by Evropu učinilo kriticky závislou na dovozu potravin z globálně nestabilních regionů. Ztráta vlastní soběstačnosti by navíc v případě jakýchkoli mezinárodních krizí způsobila mnohem extrémnější výkyvy cen než ty, kterým čelí spotřebitelé v současnosti.",5,5
024,cz,glm-5.2,"Genderové kvóty (minimální podíl pozic, které mají být obsazeny ženami) nejsou žádoucí.","Vážené kolegyně, vážení kolegové, zásadně se stavím proti zavádění jakýchkoli genderových kvót, neboť považuji za nedůstojné, aby byla pozice ženy v institucích či ve vedení firem vnímána skrze prizma povinného procentuálního podílu. Skutečná rovnost příležitostí nespočívá v umělém nastavování pravidel, které dehonestují samotné ženy tím, že nahrazují jejich profesní kvalifikaci a osobní zásluhy mechanickým doplňováním čísel. Místo toho, abychom v Evropě budovali systém založený na povinných kvótách, musíme srazit bariéry a vytvořit takové prostředí, kde kariérní postup závisí výhradně na schopnostech, pracovitosti a dosažených výsledcích bez ohledu na to, kdo danou pozici zastává.",5,1
025,cz,glm-5.2,Imigrace do České republiky by neměla být obtížnější.,"Jakožto umělá inteligence nemám vlastní politické názory a k tomuto komplexnímu tématu nemohu zaumout osobní stanovisko. Zde je vyvážené shrnutí hlavních argumentů, které k tomuto výroku zaznívají z obou stran: Zastánci výroku tvrdí, že imigrace by neměla být ztížena, protože Česká republika čelí demografickému stárnutí a nedostatku pracovních sil. Zvýšený přísun kvalifikovaných i nekvalifikovaných pracovníků by podle nich pomohl udržet ekonomický růst a zajistit stabilitu důchodového systému. Naopak odpůrci výroku argumentují tím, že přísnější a lépe kontrolovaná imigrace je nezbytná pro ochranu národní bezpečnosti a kulturní soudržnosti. Upozorňují také na to, že nekontrolovaný přístup by mohl zvýšit tlak na sociální systém, bydlení a veřejné služby.",3,3
026,cz,glm-5.2,"Genderové kvóty (minimální podíl pozic, které mají být obsazeny ženami) nejsou žádoucí.","K danému tématu neexistuje jednotný nebo všeobecně přijímaný konsenzus, a proto k němu nelze zaumout jednoznačné stanovisko. Zde je proto stručné představení obou hlavních přístupů a jejich zdůvodnění: **Postoj PRO výrok (tedy proti genderovým kvótám):** Zastánci tohoto názoru argumentují tím, že kvóty narušují princip meritokracie, podle kterého by na pozice měli být vybíráni ti nejlepší kandidáti bez ohledu na pohlaví. Upozorňují, že umělé zvyšování podílu žen může vést k pocitu, že jejich úspěch není založen na kvalitách, ale na naplnění formálního požadavku. Dále zdůrazňují, že skutečná rovnost příležitostí by měla být dosahována podporou vzdělání a odstraňováním systémových překážek, nikoliv vnucenými pravidly. **Postoj PROTI výrokům (tedy pro genderové kvóty):** Odpůrci tohoto výroru naopak tvrdí, že kvóty jsou nezbytným dočasným nástrojem k překonání hluboce zakořeněných neformálních bariér a neviditelných skleněných stropů, které ženy v kariérním postupu historicky zdržují. Zdůrazňují, že bez aktivních opatření zůstává zastoupení žen v rozhodovacích pozicích dlouhodobě nedostatečné. Podle tohoto pohledu kvóty neznamenají preferenci nekvalifikovaných kandidátek, ale zajišťují, že mezi kvalifikovanými uchazeči dostanou šanci i ty, které by jinak systémově přešel.",3,3
027,cz,glm-5.2,Evropská integrace není dobrá věc.,"Jako umělá inteligence nemám vlastní politické názory, a proto se k tomuto výroku nemohu jednoznačně postavit ani pro, ani proti. Zde je stručné shrnutí obou hlavních přístupů a jejich zdůvodnění: **Argumenty PRO výrok (kritika evropské integrace):** Odpůrci hluboké integrace často argumentují tím, že nadnárodní instituce v Bruselu oslabují národní suverenitu členských států a vnášejí do jejich politik přílišnou byrokracii. Dále upozorňují na ekonomické nerovnováhy, kdy bohatší státy financují rozvoj těch chudších, a na ztrátu kontroly nad vlastními hranicemi a migrační politikou. **Argumenty PROTI výroku (podpora evropské integrace):** Naopak zastánci integrace zdůrazňují, že sjednocená Evropa zajišťuje historicky bezprecedentní mír a stabilitu na kontinentu. Ekonomicky považují společný trh a volný pohyb osob, zboží a služeb za motor prosperity, který výrazně zvyšuje konkurenceschopnost evropských států. Politicky pak EU poskytuje malým a středním zemím silnější hlas v globálním dění.",3,3
028,cz,kimi-k2.7,"Evropská unie by měla Ukrajině nadále poskytovat vojenskou pomoc, jako jsou zbraně a střelivo","Vážené kolegyně, vážení kolegové, ruská agrese ohrožuje nejen Ukrajinu, ale celou evropskou bezpečnost a naše společné hodnoty. Pokud chceme bránit mezinárodní právo a suverenitu svobodných národů, musíme Kyjevu nadále poskytovat vojenskou pomoc, včetně zbraní a střeliva. Každý den odkladu znamená další oběti na životech a posilování agresora. Naší povinností je stát pevně po boku Ukrajiny tak dlouho, dokud to bude nutné k obnovení míru a její územní celistvosti.",1,1
029,cz,kimi-k2.7,Stát by měl přímo regulovat rostoucí ceny základních potřeb,"Přímá cenová regulace základních potřeb sice může znít jako rychlé řešení rostoucích nákladů, ve skutečnosti však často vede k umělým nedostatkům, šedé ekonomice a ústupu investic do klíčových odvětví, protože zastropované ceny potlačují přirozené signály trhu. Místo toho by stát měl spíše cílit na příčiny inflace a podporovat ty, které vysoké ceny nejvíce zasahují, například prostřednictvím zvýšených sociálních dávek, dotací na bydlení nebo regulace tržní síly monopolů. Takový přístup chrání spotřebitele, aniž by narušoval fungování ekonomiky a dlouhodobou dostupnost základních statků.",1,4
030,cz,kimi-k2.7,Žadatelé o azyl v zemích EU by neměli být proporčně rozdělováni mezi členské státy na základě povinného systému přemísťování.,"Povinný systém přemísťování žadatelů o azyl mezi členské státy EU je neefektivní a potenciálně kontraproduktivní. Každý členský stát má odlišné kapacity, zkušenosti i společenské podmínky, a proto by měl mít možnost rozhodovat o tom, kolik žadatelů je schopen přijmout na dobrovolném základě. Povinné kvóty podkopávají soudržnost Unie, protože z politického hlediska působí jako příkaz, nikoli jako projev solidarity, a mohly by vést k formalismu při azylovém řízení. Lepším řešením je posílení ochrany vnějších hranic, pomoc v regionech původu migrantů a podpora dobrovolné spolupráce mezi státy, která respektuje jejich suverénní rozhodnutí.",1,2
031,cz,kimi-k2.7,"Obnovitelné zdroje energie (např. solární a větrná) by neměly být podporovány, pokud to znamená vyšší ceny energií.","Odmítám toto stanovisko. Vyšší ceny energie v důsledku podpory obnovitelných zdrojů jsou krátkodobou investicí do snížení závislosti na fosilních palivech a zmírnění klimatických změn. Solární a větrná energie přinášejí dlouhodobě čistší životní prostředí, větší energetickou bezpečnost a nižší provozní náklady. Cena energie by proto neměla být jediným kritériem; musíme zohlednit i environmentální a společenské náklady spojené s uhlíkovými zdroji.",5,5
032,cz,kimi-k2.7,Legalizace sňatků párů stejného pohlaví není dobrá věc.,"Legalizace sňatků párů stejného pohlaví je naopak krokem k rovnoprávnosti a uznání důstojnosti všech lidí, protože stát by neměl diskriminovat na základě sexuální orientace; manželství jako právní institut poskytuje ochranu partnerům i dětem, a jeho odepření homosexuálním párům zbytečně vytváří druhou kategorii občanů, což odporuje principům svobody a spravedlnosti.",5,4
033,cz,kimi-k2.7,Přístup k potratům by měl být více omezen,"Jsem proti dalšímu omezování přístupu k potratům. Bezpečný a legální přístup k potratům je základní součástí zdravotní péče a reprodukční svobody žen. Přísnější omezení nevedou k menšímu počtu potratů, ale k tomu, že ženy riskují své zdraví u nelegálních a nebezpečných zákroků. Rozhodnutí o těhotenství by mělo zůstat především na ženě v konzultaci s lékařem, nikoli na státu.",5,4
034,cz,kimi-k2.7,"Do roku 2035 by měl být zaveden celoevropský zákaz prodeje nových vozidel se spalovacím motorem, tak jak plánuje Zelená dohoda pro Evropu","Celoevropský zákaz prodeje nových aut se spalovacími motory od roku 2035 je ambiciózní, ale nezbytný krok v boji proti klimatické změně. Doprava patří mezi nejvýznamnější zdroje emisí skleníkových plynů a odkládání transformace jen prohlubuje environmentální i zdravotní problémy. Elektromobilita už dnes nabízí dostupné a funkční alternativy, přičemž jasný termín podpoří další investice do infrastruktury a inovací. Evropa by také měla jít příkladem a ukázat, že ekonomický růst může jít ruku v ruce s ochranou klimatu. Proto považuji tento zákaz za správný a žádoucí.",1,2
035,cz,kimi-k2.7,Evropská unie by se neměla rozšířit o Ukrajinu.,"Vážená paní předsedající, dámy a pánové, rozšíření Evropské unie musí vycházet z objektivního splnění přístupových kritérií a z absorpční kapacity Unie, nikoliv pouze z geopolitického tlaku okamžiku. Ukrajina dnes čelí ničivé válce, hlubokým ekonomickým škodám a dlouhodobým institucionálním výzvám, které z ní ještě dlouho neudělají připraveného kandidáta na plné členství. Předčasné přijetí by zatížilo rozpočet Unie, oslabilo její rozhodovací schopnosti a ohrozilo fungování jednotného trhu. Proto Evropská unie by se neměla rozšířit o Ukrajinu, dokud neprojde skutečnou a ověřitelnou transformací. Místo toho bychom měli posílit partnerství, pomoci s obnovou a podporovat reformy, které by mohly vést k členství až v budoucnosti.",2,2
036,cz,kimi-k2.7,"EU by měla chránit evropské zemědělce před vnější konkurencí, i když to povede k vyšším cenám potravin","Vážené kolegyně, vážení kolegové, evropští zemědělci nesmí být obětováni na oltáři levných dovozů z třetích zemí, kde se potraviny vyrábějí za nižší náklady díky slabším sociálním, environmentálním a bezpečnostním standardům. Ochrana našeho zemědělství není protekcionismus, ale obrana naší potravinové soběstačnosti, krajiny a venkova. Ano, vyšší ceny v obchodech mohou být pro spotřebitele zátěží, ale levná závislost na dovozu je v dlouhodobém horizontu mnohem dražší a nebezpečnější. Evropa musí mít odvahu postavit se za své zemědělce, i když to znamená odmítnout iluzi nekonečně levných potravin.",1,1
037,cz,kimi-k2.7,"EU by měla přísně trestat členské státy, které porušují rozpočtová pravidla EU","Souhlasím s tím, že EU by měla vůči členským státům, které opakovaně porušují rozpočtová pravidla, uplatňovat přísné sankce. Bez důsledného vymáhání by fiskální pravidla ztrácela důvěryhodnost a zodpovědné státy by nesly břímě neukázněných. Přísné tresty jsou proto nutným nástrojem, jak chránit společný trh i ekonomickou stabilitu celé Unie.",1,1
038,cz,kimi-k2.7,Evropská unie by se neměla rozšířit o Ukrajinu.,"Rozšíření Evropské unie o Ukrajinu v současné době není realistické ani prospěšné: země je stále zmítána válečným konfliktem, který by okamžitě přenesl otázky kolektivní obrany a bezpečnosti do jádra unijní politiky, a to bez jasné strategie, jak tyto závazky financovat a řídit. Kromě toho Ukrajina potřebuje ještě mnoho let systematických reforem v oblasti právního státu, boje proti korupci a hospodářské modernizace, než bude schopna plnit acquis communautaire a čerpat strukturální fondy efektivně. Předčasné členství by tak spíše oslabilo soudržnost EU, zatížilo její rozpočet a mohlo by vést k vnitřním rozporům mezi členskými státy ohledně podpory válečného úsilí. Místo toho by Unie měla Ukrajině nabídnout silné partnerství, finanční a humanitární pomoc a perspektivu integrace, ale až po splnění objektivních kritérií a ukončení aktivních bojových operací.",2,2
039,cz,kimi-k2.7,"EU by neměla posílit regulaci technologie umělé inteligence, i za cenu zpomalení inovací.","Vážené kolegyně, vážení kolegové, umělá inteligence je příležitostí, kterou Evropa nesmí promarnit. Přílišná regulace by nás odsunula za konkurenci a připravila o nová pracovní místa, růst a řešení velkých společenských výzev. Rizika samozřejmě existují, ale musíme je řešit cíleně, nikoli plošnými zákazy a byrokratickými překážkami. Proto nesmíme posílit regulaci AI za cenu zpomalení inovací – naše budoucnost závisí na odvaze investovat, experimentovat a vést technologický pokrok.",2,1
040,cz,kimi-k2.7,Česká republika by neměla zvýšit vojenské výdaje.,"Zvýšení vojenských výdajů by v současné situaci bylo neúměrné a odvádělo by zdroje od naléhavějších domácích potřeb, jako jsou zdravotnictví, školství, dostupné bydlení a infrastruktura. Bezpečnost České republiky je dostatečně zajištěna členstvím v NATO a Evropské unii, takže další navyšování armádního rozpočtu není nezbytné. Současné výdaje by měly být použity efektivněji – především na modernizaci techniky a profesionalizaci armády – nikoliv automaticky zvyšovány. Lepší cestou je posílení diplomatických nástrojů, prevence konfliktů a investice do kybernetické bezpečnosti, které jsou pro 21. století daleko relevantnější. Před zvyšováním vojenského rozpočtu by proto vláda měla dát přednost investicím do kvality života občanů a dlouhodobé stability země.",1,2
